,request,gold_judgment,direct_source
1569,"Classify each of the following dishes as either 'Indian', 'Italian', 'Latin American', 'African' or 'Neither' based on their cuisine. Biriyani, Pasta, Dosa, Risotto, Burger, Lasagne, Tajine,  Empanadas, Tacos",fully specified,CLAMBER
1980,"Kimberly told the aunt that she bullied the granddaughter.
Who bullied the granddaughter?",fully specified,CLAMBER
887,Who plays young william in a knight's tale?,fully specified,CLAMBER
857,Which tribe was allied with the british in the battle of queenston?,fully specified,CLAMBER
1524,"Classify the below based on whether they are tree or animal.
Deer, Goat, Acacia, Banyan",fully specified,CLAMBER
1568,"Classify these as things you would want to wear for a rainy day or a very hot day: umbrella, ball cap, rain jacket, t-shirt, sunglasses, rain boots, flip-flops",fully specified,CLAMBER
2272,Who was the screenwriter for the film adaptation of Surfacing by Margaret Atwood?,fully specified,CLAMBER
2226,Who performed the musical Nuuk?,fully specified,CLAMBER
1010,Who is the 7th husband in 7 khoon maaf?,fully specified,CLAMBER
1182,What was the first national legislature established by the articles of confederation?,fully specified,CLAMBER
2302,"What is the total population of Wakefield, England?",fully specified,CLAMBER
1333,"Tell me whether the following animals are part of the cat family: ocelot, lion, jackal, caracal, leopard, fox, tiger, lynx.",fully specified,CLAMBER
1343,Give me a list of the five best selling consoles of all time with amount of units sold,fully specified,CLAMBER
2281,"Who performs the song ""Textures""?",fully specified,CLAMBER
1132,Where was top of the lake china girl filmed?,fully specified,CLAMBER
1418,List the 7 most recent US Speakers of the House (newest to oldest).,fully specified,CLAMBER
1671,"Matthew emailed Joshua because he wanted to apologize.
Who wanted to apologize?",fully specified,CLAMBER
1924,"Melissa told Jennifer that the father-in-law scared her.
Who did the father-in-law scar?",fully specified,CLAMBER
1234,"Tell me whether each of these are animals or not: Alligator, Grass, Tree, Boat, Dolphin, Shark, Fish, Fence, Dog, Car",fully specified,CLAMBER
1191,What is the movie the imitation game about?,fully specified,CLAMBER
1172,The main difference between isotopes of the same element?,fully specified,CLAMBER
1336,"List the ten episode titles from the first season of ""Game of Thrones"" in broadcast order.",fully specified,CLAMBER
1542,"Write a plan for a road trip to ski resorts in California that are available on the Ikon pass, with stops at three different resorts. The plan should depart and end at San Francisco, include a budget, timeline, and short description of each resort.",fully specified,CLAMBER
1168,Who plays red queen alice in wonderland 2010?,fully specified,CLAMBER
1156,The central processing unit cpu is a type of?,fully specified,CLAMBER
1224,"Imagine you are planning a menu for Thanksgiving Dinner. Build out a meal with two main dishes, four side dishes and two desserts. I have an aunt with Celiac disease who is vegetarian, so make sure there are options for vegetarians and people with celiac disease in each course, and explain what my aunt can eat in each part of the meal",fully specified,CLAMBER
964,Who did congress honor in 2002 for contributing to the invention of the telephone?,fully specified,CLAMBER
999,Who won season 2 of america's got talent?,fully specified,CLAMBER
1389,Name some of the bravolebrities from Married to Medicine,fully specified,CLAMBER
2186,Who is the author of the book titled Floodland?,fully specified,CLAMBER
2260,Who starred in the 1996 film adaptation of Sleepers?,fully specified,CLAMBER
882,Who pays the bride price in india marriage?,fully specified,CLAMBER
1385,"Categorize the days of the week based on their starting alphabet.
Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",fully specified,CLAMBER
924,On what sea do you find the city of bombay india?,fully specified,CLAMBER
1643,"The sister-in-law told Amanda that she laughed at the client.
Who laughed at the client?",fully specified,CLAMBER
985,The speaker of lok sabha in india is elected by whom?,fully specified,CLAMBER
1183,Who is the rapper that wears a clock?,fully specified,CLAMBER
1660,"The sister-in-law left a note for Amanda because she was seeking feedback.
Who was seeking feedback?",fully specified,CLAMBER
1181,Former world number one tennis player who coached roger federer in 2014?,fully specified,CLAMBER
1280,"Classify these dishes into the cuisines that they belong to.
Panipuri, Risotto, Butter Chicken, Lasagna, Naan, Ravioli, Jalebi",fully specified,CLAMBER
1248,"Classify the sentences below based on the sentiment - neutral, positive, negative, or angry

1. My shirt is red in color
2. I am so mad about losing my Airpods.
3. I am tired of being stuck in traffic every day.
4. I am so stressed and overwhelmed at work.
5. Work is so energizing
6. I love sunsets at the beach.
7. My best vacation place is Rome
8. They sing Fado in Lisbon
9. Somebody's going to get hurt so bad - watch it !
10. I have a meeting at 3pm",fully specified,CLAMBER
975,Who is the current active career major league baseball hits leader?,fully specified,CLAMBER
1522,Name all members of The Beatles,fully specified,CLAMBER
1763,"The sister-in-law told Amanda that she resented the client.
Who resented the client?",fully specified,CLAMBER
971,What does dr campbell find in the sugar bowl?,fully specified,CLAMBER
1163,Who wrote the song how far i'll go from moana?,fully specified,CLAMBER
2127,"Who is the author of the book titled ""Ascent"" that was published in 2020?",fully specified,CLAMBER
1129,Where did the saying kill them all let god sort them out?,fully specified,CLAMBER
1107,When was nanda devi national park added to the unesco's list of world heritage?,fully specified,CLAMBER
1272,"When I ski my legs form an A-frame shape and it doesn't look very nice, how can I fix this?",fully specified,CLAMBER
1868,"The son told Robert that he argued with Brian.
Who argued with Brian?",fully specified,CLAMBER
2221,How many seasons does Narcos have in total?,fully specified,CLAMBER
2244,"Who is the author of the book titled ""Queer"" written by William S. Burroughs?",fully specified,CLAMBER
1725,"Matthew told Joshua that he loved the client.
Who loved the client?",fully specified,CLAMBER
1558,"Tell me if the following countries are in Europe or in Africa: Portugal, Italy, Burkina Faso, Rwanda, Germany, Sweden, Spain",fully specified,CLAMBER
1362,Tell me who are the top 5 leading scorers of all time in the NBA,fully specified,CLAMBER
1314,Give me 10 different ideas for how to spend a rainy Saturday afternoon,fully specified,CLAMBER
1066,Who has won the america's cup 2017?,fully specified,CLAMBER
1907,"The sister-in-law brought Amanda a gift after she invited her to her birthday party.
Who invited her to her birthday party?",fully specified,CLAMBER
1813,"Kimberly told the aunt that she fooled the granddaughter.
Who fooled the granddaughter?",fully specified,CLAMBER
1801,"Matthew played Joshua a recording before he started repeating the sounds.
Who started repeating the sounds?",fully specified,CLAMBER
936,Who wrote good time charlie's got the blues?,fully specified,CLAMBER
1608,"William told Joshua that he explained to the saleswoman.
Who explained to the saleswoman?",fully specified,CLAMBER
1633,"The sister-in-law contacted Amanda because she wanted to catch up.
Who wanted to catch up?",fully specified,CLAMBER
1061,In which year did the british shift india's capital from calcutta to delhi?,fully specified,CLAMBER
941,Which amendment provides the foundation for states rights?,fully specified,CLAMBER
956,What is the dog's name on inspector gadget?,fully specified,CLAMBER
1067,Who plays 2pac mom in all eyez on me?,fully specified,CLAMBER
1865,"Matthew told Joshua that he missed the client.
Who missed the client?",fully specified,CLAMBER
1429,"List the seven episode titles from the seventh season of ""Game of Thrones"" in broadcast order.",fully specified,CLAMBER
993,How many 10 cards are in a deck of 52 cards?,fully specified,CLAMBER
1879,"Matthew pinged Joshua because he was seeking advice.
Who was seeking advice?",fully specified,CLAMBER
1694,"Matthew wrote Joshua a short poem before he invited him to compose an original verse.
Who invited him to compose an original verse?",fully specified,CLAMBER
2211,"Who is a cast member on the Netflix series ""Lupin""?",fully specified,CLAMBER
1531,Think of five quirky marketing slogans for a new Fashion Brand TV campaign. It must be a little arrogant and sharp.,fully specified,CLAMBER
959,Where is the descending aorta located in the mediastinum?,fully specified,CLAMBER
1918,"Matthew told Joshua that he tolerated the client.
Who tolerated the client?",fully specified,CLAMBER
1134,Who was the union general who burned a path of destruction through georgia?,fully specified,CLAMBER
1467,"Categorize each of the following as a golf term or soccer term: slice, nutmeg, goal, stroke, putt, drive, tackle, striker.",fully specified,CLAMBER
1199,"Write a beautiful bedtime 5 paragraph story for a 4 years old. The outline of the story is: a small boy, named Jonny goes on an adventure with his family.",fully specified,CLAMBER
1854,"Melissa told Jennifer that the father-in-law inspired her.
Who did the father-in-law inspire?",fully specified,CLAMBER
957,Who wrote the song up on cripple creek?,fully specified,CLAMBER
1714,"William told Joshua that the saleswoman surprised him.
Who did the saleswoman surprise?",fully specified,CLAMBER
1133,How many seasons did a different world have?,fully specified,CLAMBER
1143,Who played faramir in lord of the rings movies?,fully specified,CLAMBER
2121,"Who performed the song ""Ambitions""?",fully specified,CLAMBER
1346,Give me a list of the ten best rock guitarists of all time,fully specified,CLAMBER
1048,Who brought castiel back to life in season 5?,fully specified,CLAMBER
1572,"separate the following into chilldrens and adults cartoons.
recess
rugrats
big mouth
swat cats
inside job
popeyes
dexters lab
king of the hill
south park",fully specified,CLAMBER
243,Who were the first european to reach the americas and when did they arrive?,underspecified,CLAMBER
2025,What is the plot of Conjuring?,underspecified,CLAMBER
233,What is the largest bill made in the us?,underspecified,CLAMBER
70,how do you decide which job to take?,underspecified,CLAMBER
363,What is the meaning of the name melanie?,underspecified,CLAMBER
294,Where is the great mosque of djenne located?,underspecified,CLAMBER
44,Give me some ideas for Halloween costumes.,underspecified,CLAMBER
1769,"The sister-in-law told Amanda the bad news before she left the exam room.
Who left the exam room?",underspecified,CLAMBER
1711,"The sister-in-law told Amanda that she startled the client.
Who startled the client?",underspecified,CLAMBER
599,Where is the netflix series free rein filmed?,underspecified,CLAMBER
2033,What is the plot of Enthiran?,underspecified,CLAMBER
218,When was the orleans hotel in las vegas built?,underspecified,CLAMBER
310,Who had the most power in sumerian society?,underspecified,CLAMBER
58,"Classify the below companies based on their market capitalization.
Reliance, Adani Enterprise, Tanla, Globus Spirits, Apollo Hospitals, NELCO, Zee Entertainment Enterprises Ltd",underspecified,CLAMBER
2366,What are some popular spirits at the bar?,underspecified,CLAMBER
376,Who is dr sloan in kevin saves the world?,underspecified,CLAMBER
78,Name some of the top soccer players,underspecified,CLAMBER
1759,"Matthew left a voicemail for Joshua because he is traveling abroad tomorrow.
Who is traveling abroad tomorrow?",underspecified,CLAMBER
566,How many nba games does each team play?,underspecified,CLAMBER
728,Who wrote i wasn't born to follow?,underspecified,CLAMBER
694,Who did the song i want to know what love is?,underspecified,CLAMBER
113,Give me a list of the greatest basketball players of all time.,underspecified,CLAMBER
665,Who sings the song if you want my love you got it?,underspecified,CLAMBER
2393,What is the significance of a will?,underspecified,CLAMBER
1994,"William told Joshua that the saleswoman treasured him.
Who did the saleswoman treasure?",underspecified,CLAMBER
435,Who played emily stewart on as the world turns?,underspecified,CLAMBER
481,Where was the pirates of the caribbean 5 filmed?,underspecified,CLAMBER
541,Where are the majority of marine organisms found?,underspecified,CLAMBER
358,Who established the close connection between electricity and magnetism?,underspecified,CLAMBER
523,When does the new bunk'd come out?,underspecified,CLAMBER
107,Write a paragraph on how cricket format has evolved over time,underspecified,CLAMBER
453,Where was legends of the fall movie filmed?,underspecified,CLAMBER
298,Where was once i was a beehive filmed?,underspecified,CLAMBER
2389,What is the significance of depth in this context?,underspecified,CLAMBER
429,What channel did fresh prince of bel air air on?,underspecified,CLAMBER
2377,What are the potential dangers associated with moles?,underspecified,CLAMBER
715,What teams are in the carolina panthers division?,underspecified,CLAMBER
277,Who has won the europa league the most?,underspecified,CLAMBER
428,What is a black spider with yellow stripes?,underspecified,CLAMBER
409,What is the girl sloths name in zootopia?,underspecified,CLAMBER
514,Who is the youngest congressman in the us?,underspecified,CLAMBER
589,What is the capital of andhra pradesh and telangana?,underspecified,CLAMBER
785,Who started the white out in college football?,underspecified,CLAMBER
582,When did champions league final moved to saturday?,underspecified,CLAMBER
49,Give me a bulleted list of the top five most followed Instagram profiles.,underspecified,CLAMBER
394,Who heads up the un human rights council?,underspecified,CLAMBER
713,What are the 3 most common gasses in earth's atmosphere?,underspecified,CLAMBER
594,Where does air canada fly to in italy?,underspecified,CLAMBER
23,"Tell me whether these states are in Eastern Time, Central Time, or neither",underspecified,CLAMBER
43,Come up with short road trips from Berkeley that I can drive to within two hours.,underspecified,CLAMBER
543,When did us go to war with germany?,underspecified,CLAMBER
231,When did the last season of one tree hill air?,underspecified,CLAMBER
350,1701 act of settlement heirs to the throne?,underspecified,CLAMBER
308,When was ice dancing introduced in the olympics?,underspecified,CLAMBER
128,Give me a list of different types of cold coffee beverages.,underspecified,CLAMBER
1757,"Matthew emailed Joshua because he was upset.
Who was upset?",underspecified,CLAMBER
461,Actor who plays chuck on better call saul?,underspecified,CLAMBER
1986,"William told Joshua that he emboldened the saleswoman.
Who emboldened the saleswoman?",underspecified,CLAMBER
573,When does season 3 star vs the forces of evil come out?,underspecified,CLAMBER
1656,"The sister-in-law told Amanda that she wowed the client.
Who wowed the client?",underspecified,CLAMBER
101,Write a brief passage arguing for wearing fanny packs when walking around town.,underspecified,CLAMBER
2058,What is the plot of Marnie?,underspecified,CLAMBER
292,Who has become the new member of upsc?,underspecified,CLAMBER
572,Who is the father of emma on friends?,underspecified,CLAMBER
196,What is the most recent season of the blacklist?,underspecified,CLAMBER
598,Who won the first ever nrl grand final?,underspecified,CLAMBER
1956,"The sister-in-law sang Amanda an old jazz song before she left the party.
Who left the party?",underspecified,CLAMBER
109,Give me some ideas on where to travel for good sun and beaches.,underspecified,CLAMBER
51,What are some of the best business podcast to listen to?,underspecified,CLAMBER
679,Who led the committee of public safety apex?,underspecified,CLAMBER
536,Number of catholic high schools in the united states?,underspecified,CLAMBER
314,When was the last time world cup was in us?,underspecified,CLAMBER
2394,"What is the most common use of the word ""tack""?",underspecified,CLAMBER
1885,"The sister-in-law built Amanda a snowman after she said she wanted to watch a movie.
Who said she wanted to watch a movie?",underspecified,CLAMBER
643,Who is the leader of ruling party in rajya sabha?,underspecified,CLAMBER
534,Who won the womens curling winter olympics 2018?,underspecified,CLAMBER
54,How to have an evergreen garden?,underspecified,CLAMBER
768,When does dragon ball super episode 95 come out?,underspecified,CLAMBER
1990,"Matthew gave Joshua a call before he got to the airport.
Who got to the airport?",underspecified,CLAMBER
86,Think up ways to clean a keyboard.,underspecified,CLAMBER
56,How hard is it to learn how to ski?,underspecified,CLAMBER
723,America's best dance crew season 6 winners?,underspecified,CLAMBER
767,When did mt st helen's last erupt?,underspecified,CLAMBER
2365,What does it mean to be observant?,underspecified,CLAMBER
2319,What is the purpose of a vent?,underspecified,CLAMBER
209,Pay for star on hollywood walk of fame?,underspecified,CLAMBER
381,When is the world series of poker 2018?,underspecified,CLAMBER
2395,What are the advantages of using Windows?,underspecified,CLAMBER
532,When does season 7 of game of thrones finish?,underspecified,CLAMBER
542,Who wrote the song i'll be seeing you?,underspecified,CLAMBER
2374,What does it mean to serve?,underspecified,CLAMBER
331,How many times have the warriors won the finals?,underspecified,CLAMBER
617,Where is the isle of man tt held?,underspecified,CLAMBER
1687,"Matthew told Joshua that he pacified the client.
Who pacified the client?",underspecified,CLAMBER
1942,"William told Joshua that he astounded the saleswoman.
Who astounded the saleswoman?",underspecified,CLAMBER
433,Who is the 1st governor general of india?,underspecified,CLAMBER
390,Where does one look to find the powers of a corporation?,underspecified,CLAMBER
371,Where was the movie fundamentals of caring filmed?,underspecified,CLAMBER
535,Who wrote the songs in the greatest showman?,underspecified,CLAMBER
741,Where does the bbc get its weather forecast from?,underspecified,CLAMBER
367,Who is the mother in how i met your mom?,underspecified,CLAMBER
355,Who sang i'm going to make you mine?,underspecified,CLAMBER
423,Who wrote the song be still and know i am?,underspecified,CLAMBER
163,Recommend me a SCI FI fiction book,underspecified,CLAMBER
198,When did the capital of virginia moved from williamsburg to richmond?,underspecified,CLAMBER
588,Who was involved in the bull run battle?,underspecified,CLAMBER
2079,Who is the main character in Siddhartha?,underspecified,CLAMBER
2353,What are some common symptoms of someone who is moped?,underspecified,CLAMBER
81,How do I decline an invitation to my Aunt's Birthday party?,underspecified,CLAMBER
584,Who has a baby in pitch perfect 3?,underspecified,CLAMBER
123,Give me some ideas on how to make money while traveling the world.,underspecified,CLAMBER
1650,"The sister-in-law wrote a letter to Amanda because she is attending a conference next week.
Who is attending a conference next week?",underspecified,CLAMBER
184,What engine is in the audi r8 v10?,underspecified,CLAMBER
382,When do we celebrate veterans day this year?,underspecified,CLAMBER
1670,"The sister-in-law wrote a letter to Amanda because she is moving abroad soon.
Who is moving abroad soon?",underspecified,CLAMBER
380,Who acts as the federal government's lawyer before the supreme court?,underspecified,CLAMBER
479,Which person or group brought polyphonic music into the christian church?,underspecified,CLAMBER
447,Where did the traditional heart shape come from?,underspecified,CLAMBER
174,"Identify if the following instance is passive-aggressive or not. Output 1 for passive-aggressive, and 0 for not.",underspecified,CLAMBER
721,Who wrote the score for fiddler on the roof?,underspecified,CLAMBER
1784,"The sister-in-law wrote a letter to Amanda because she is leaving town next week.
Who is leaving town next week?",underspecified,CLAMBER
170,Read the following paragraph and answer a math question about the paragraph. You need to write out the calculation for getting the final answer.,underspecified,CLAMBER
362,Who did the land ordinance of 1785 benefit?,underspecified,CLAMBER
2020,What is the significance of Brick?,underspecified,CLAMBER
328,When do babies start breathing on their own?,underspecified,CLAMBER
306,Where was twilight breaking dawn part 1 filmed?,underspecified,CLAMBER
471,Where was the first non aligned summit held?,underspecified,CLAMBER
1886,"The sister-in-law brought Amanda some flowers after she came back from school.
Who came back from school?",underspecified,CLAMBER
2314,What is the best way to reduce the noise of a racket?,underspecified,CLAMBER
2337,What is the purpose of combing?,underspecified,CLAMBER
1750,"The son told Robert that he enlightened Brian.
Who enlightened Brian?",underspecified,CLAMBER
757,When does spirit riding free season 2 come out?,underspecified,CLAMBER
561,The hottest recorded temperature on earth occurred where?,underspecified,CLAMBER
111,What is the amount of leaf nitrogen per dry mass in Nofagusagus antiesii?,underspecified,CLAMBER
18,When did arnides make its last appearance in the fossil record?,underspecified,CLAMBER
36,What is the latitude of the habitat of ClHummia?,underspecified,CLAMBER
181,What's the dry mass of seeds produced by Helichrysumbanense?,underspecified,CLAMBER
149,What is the body length of Horum?,underspecified,CLAMBER
136,Is Arigmodete an extinct species?,underspecified,CLAMBER
82,Is Tepa jugosa aggregative multicellular?,underspecified,CLAMBER
193,In which geological period did Jefferson ul bridgei first appear?,underspecified,CLAMBER
197,Does Chelyrttodestoni have semiprecocial as its developmental mode?,underspecified,CLAMBER
54,Does Anthidium atorense have Lamiaceae as its host?,underspecified,CLAMBER
77,What is the stem specific density of Comallcium?,underspecified,CLAMBER
205,What's the average body mass of Botaurus stellarinosus?,underspecified,CLAMBER
188,Is Kaotaia longa a burrower?,underspecified,CLAMBER
92,Is Sintoria emeralda a multicellular organism in terms of cellularity?,underspecified,CLAMBER
210,What's the longitude of the location where achotus was found?,underspecified,CLAMBER
200,Does mitziella belong to the ecomorphological guild of amoeba?,underspecified,CLAMBER
66,What is the latitude of the habitat of Leuciaiaivea?,underspecified,CLAMBER
174,What's the longitude of the location where Naphena was found?,underspecified,CLAMBER
96,Is Aro diffic plana aggregative multicellular?,underspecified,CLAMBER
80,What is the dry mass of a seed of Dicent canadensis?,underspecified,CLAMBER
145,Are the sequences of Ptedoctematidae available in GenBank no?,underspecified,CLAMBER
19,Can Arichria be found in terrestrial habitat?,underspecified,CLAMBER
170,Is Ampulla an extinct species?,underspecified,CLAMBER
109,Is Gia parvif nutans a multicellular organism in terms of cellularity?,underspecified,CLAMBER
76,What is the latitude range of Visciaabra's habitat?,underspecified,CLAMBER
70,Is Aroanaanalivacea aggregative multicellular?,underspecified,CLAMBER
98,What's the geographic distribution of Dioxysrichi?,underspecified,CLAMBER
79,What is the dry mass of a seed of Daph mac laureola?,underspecified,CLAMBER
146,Does Ryllobaga have tympanic middle ear as part of its auditory system?,underspecified,CLAMBER
153,What's the longitude of the location where Johnstonia duplysna is commonly found?,underspecified,CLAMBER
11,Are the records of Thuparezomidae in bold yes?,underspecified,CLAMBER
22,Does Bia live in ground habitat?,underspecified,CLAMBER
65,Does Crop s minthe have larval development as its developmental mode?,underspecified,CLAMBER
89,What is the geographic distribution of Phora dubia?,underspecified,CLAMBER
172,Is Maleonna a carnivore in the food chain?,underspecified,CLAMBER
122,Is Oreo bushmark a unicellular organism in terms of cellularity?,underspecified,CLAMBER
156,What is the level of body symmetry exhibited by MacStatira?,underspecified,CLAMBER
158,Does Aquariusarius fabricii inhabit pond habitat?,underspecified,CLAMBER
187,When did ymovicia make its last appearance in the fossil record?,underspecified,CLAMBER
90,What is the latitude range of Clun africanus's habitat?,underspecified,CLAMBER
93,Is Bengalia depressa multicellular?,underspecified,CLAMBER
223,Does Tondora have dextrally coiled?,underspecified,CLAMBER
45,What is the hearing threshold of Rhodeus amarus?,underspecified,CLAMBER
28,Does Lomeris eat Parthenium hysterophorus?,underspecified,CLAMBER
143,Is Fargesia grossa a grass plant growth form?,underspecified,CLAMBER
221,What is the preferred water depth range of Hime capitonis?,underspecified,CLAMBER
34,"Is the type specimen repository of Saccolopolyspora Naturalis Biodiversity Center, Zoology Collections?",underspecified,CLAMBER
23,In which geological period did Electocheisidium last appear?,underspecified,CLAMBER
165,What's the longitude of the location where Macrocamera pansa is commonly found?,underspecified,CLAMBER
100,What's the latitude range where Schizobopina k lobata is found?,underspecified,CLAMBER
134,Is Zis a actively mobile?,underspecified,CLAMBER
196,Is Herentia thalmanni multicellular?,underspecified,CLAMBER
6,Is Meleraceae found in the geographic distribution of Mozambique?,underspecified,CLAMBER
147,What's the preferred water depth range for Jaculina tessellata?,underspecified,CLAMBER
138,What's the optimal growth temperature for Dillenia aurea?,underspecified,CLAMBER
87,Is Smittia wirthi a filter feeder trophic guild?,underspecified,CLAMBER
162,Is HCopotina's locomotion based on unguligrade?,underspecified,CLAMBER
114,What's the average temperature range in the geographic range of Suncus dayi?,underspecified,CLAMBER
195,What is the hearing threshold of Tatiaiaolae?,underspecified,CLAMBER
295,Does Sitophilus oryzae have Zea mays as its host?,fully specified,CLAMBER
108,How many frost-free days does the habitat of Elymus repens have per year?,fully specified,CLAMBER
230,In which geological period did Pycnogonida first appear?,fully specified,CLAMBER
358,What's the longitude of the location where Johnstonia duplicata is commonly found?,fully specified,CLAMBER
328,Can Antho hallezi be found in tropical habitat?,fully specified,CLAMBER
315,Is Stelis pardita multicellular?,fully specified,CLAMBER
269,What is the body mass range of Herpestes ichneumon?,fully specified,CLAMBER
370,What is the body length of Prunum woodbridgei?,fully specified,CLAMBER
374,Is Trivirostra sphaeroides found in marine benthic habitat?,fully specified,CLAMBER
245,Is Loligo a/an carnivore?,fully specified,CLAMBER
266,Does Alastor iranus have dextrally coiled body symmetry?,fully specified,CLAMBER
382,Is the trophic guild of Clausia podlechii a saprotrophic?,fully specified,CLAMBER
365,What is the latitude range of Emma rotunda's habitat?,fully specified,CLAMBER
278,Is Rosema demorsa multicellular?,fully specified,CLAMBER
386,Is the behavioral circadian rhythm of Helcon texanus diurnal?,fully specified,CLAMBER
377,Are Solanum lycopersicum pathogens of Globodera rostochiensis?,fully specified,CLAMBER
256,Does the developmental mode of Canthon hartmanni include holometabolous?,fully specified,CLAMBER
352,Are the testes of Piliocolobus located in scrotal position?,fully specified,CLAMBER
282,Is Calamaria griswoldi found in australasia biogeographic realm?,fully specified,CLAMBER
268,What is the body mass range of Hystrix indica?,fully specified,CLAMBER
324,Is Garcia nutans a multicellular organism in terms of cellularity?,fully specified,CLAMBER
115,What's the average body mass of Beamys hindei?,fully specified,CLAMBER
348,Is the trophic guild of Savillea micropora a consumer?,fully specified,CLAMBER
293,Does Molanna taprobane have bilaterally symmetric body symmetry?,fully specified,CLAMBER
265,What is the meaning of the term standard length in the context of Paracheirodon axelrodi?,fully specified,CLAMBER
260,Does Lerodea eufala visit Phyla?,fully specified,CLAMBER
284,Does the skeleton of Ironus ignavus have soft bodied structure?,fully specified,CLAMBER
267,What is the actual evapotranspiration rate in the geographic range of Spermophilus major?,fully specified,CLAMBER
325,Is the leaf sheddability of Magnolia montana semi-deciduous?,fully specified,CLAMBER
332,What is the body mass range of Apodemus sylvaticus?,fully specified,CLAMBER
59,What is the average life span of Bothrops asper?,fully specified,CLAMBER
125,Is Anomalosa oz a aggregative multicellular organism in terms of cellularity?,fully specified,CLAMBER
255,Is Phodopus unicellular?,fully specified,CLAMBER
275,What is the body mass of Kobus kob?,fully specified,CLAMBER
350,Does Ranitomeya have tympanic middle ear as part of its auditory system?,fully specified,CLAMBER
304,Is Clonia charpentieri a aggregative multicellular organism in terms of cellularity?,fully specified,CLAMBER
335,Is Pensacola sylvestris a multicellular organism in terms of cellularity?,fully specified,CLAMBER
337,What's the leaf mass per area of Larrea divaricata's leaves?,fully specified,CLAMBER
364,When did Patsyella make its last appearance in the fossil record?,fully specified,CLAMBER
276,What's the body mass of Salamandra salamandra?,fully specified,CLAMBER
279,Is Caesalpinia intermedia a photoautotroph trophic guild?,fully specified,CLAMBER
