,request,gold_judgment,direct_source,category,reasoning,original_annotation
2,"Look up the average salary for a software engineer in Austin, Texas.",fully specified,IN3,fully specified,"This question is fully specified because it clearly defines the job role (software engineer), the location (Austin, Texas), and the metric (average salary), making it a straightforward factual lookup. While finer details like the exact year or experience level could slightly affect the figure, the question asks at the macro level for an overall average, which is typically understood as referring to the most recent available data and the general average. Therefore, the request is sufficiently specified.","The task seems clear in its intention. The user wants to find the average salary for a software engineer in a specific location, which is Austin, Texas. The task does not require more details about the type of software engineer (e.g., entry-level, senior), specific industry, or company size, although these factors could influence salary data. However, as long as the user is looking for a general average, no additional details are needed to perform the task."
107,Research and summarize the concept of blockchain and its applications.,fully specified,IN3,fully specified,"This question is fully specified because it requests a factual summary of an established technical concept (blockchain) and its practical uses. While the applications can cover a range of areas, the question does not leave referential ambiguity, nor does it depend on subjective standards or multiple conflicting perspectives.","The task is clear in its request for research and summarization of the blockchain concept and its applications. It does not specify a particular type of blockchain (e.g., public, private, consortium) or application domain (e.g., finance, supply chain, healthcare), which could be relevant to the depth and focus of the research. However, the general nature of the task allows for a broad overview, which seems to be the intention here."
26,Find the capital city of Tasmania.,fully specified,IN3,fully specified,"This question is fully specified because it asks for a single, factual geographic fact — the capital of Tasmania — with no missing components, no ambiguous references, no multiple perspectives, and no subjective criteria.","The task is straightforward and specific. The user has provided a clear objective which is to find the capital city of a particular region, Tasmania. No additional preference details or clarifications are necessary to execute this task."
93,What are the current trends in sustainable fashion?,fully specified,IN3,fully specified,"This question is fully specified because it asks for an overview of the dominant trends within a defined topic (sustainable fashion) at the present time. While the trends themselves evolve, the phrase “current” anchors the scope and a very accurate time point is not required. The question also does not rely on ambiguous references or subjective standards beyond generally accepted industry reporting.",The user is asking for information on current trends in sustainable fashion. This is a clear task as it's asking for general information on a specific topic without needing personal preferences or more details.
18,Summarize the causes and effects of the French Revolution.,fully specified,IN3,fully specified,"This question is fully specified because it refers unambiguously to the historical event of the French Revolution and asks for an overview of its causes and consequences, which are widely studied and documented. While different historians might emphasize different aspects or interpretations, the core factual scope of the request is clear, with no missing components, no referential ambiguity, and no reliance on subjective standards beyond established historical reporting.","The task provided is clear. The user is asking for a summary of the causes and effects of a specific historical event, which is the French Revolution. The task goal is straightforward and does not require personal preferences or additional details to be understood or executed."
9999,Retrieve top 5 facts about the Eiffel Tower from Wikipedia.,fully specified,IN3,fully specified,"This question is fully specified because it clearly defines the target (the Eiffel Tower), the number of facts requested (top 5), and the source (Wikipedia), leaving no ambiguity in scope or reference. While the selection of “top” facts could vary slightly depending on presentation, the request is straightforward and does not rely on missing components or subjective standards.","The task is clear as the user has specified the subject (Eiffel Tower), the source (Wikipedia), and the quantity (top 5 facts). There is no need for additional details such as personal preferences because the facts are objective pieces of information."
9998,What is the average lifespan of a human in the 21st century?,fully specified,IN3,fully specified,"This question is fully specified because it asks for a statistical average lifespan over a defined period (21st century) for humans, which is a measurable, factual figure. There are no missing components, no ambiguous referents, and no subjective criteria involved.","The user's task is asking for a specific piece of statistical information, which is the average lifespan of a human in the 21st century. This is a factual question that does not require any personal preferences or additional details to provide an accurate answer. The task is clear as it stands."
9997,List the top five companies by market capital in the FTSE 100.,fully specified,IN3,fully specified,"This question is fully specified because it asks for a factual ranking based on a clear metric (market capitalization) within a defined index (FTSE 100). While the rankings change over time, the absence of a date reference does not undermine the general understanding that it refers to the current figures. There are no ambiguous references or subjective standards.",The task is clear as it specifies a well-defined request: to list the top five companies by market capitalization within the FTSE 100 index. No additional preferences or details are necessary to complete this task.
9996,List out the ten most spoken languages in the world.,fully specified,IN3,fully specified,"This question is fully specified because it clearly asks for a factual ranking (top ten languages) based on global speaker numbers, which is a well-documented statistic. While exact rankings may vary slightly depending on data sources, the request at the macro level is clear and does not involve ambiguous references or subjective criteria.",The task is clear as it specifies the requirement to list the ten most spoken languages in the world. There are no personal preferences or additional details required to complete this task since it is based on statistical data that can be objectively determined.
9995,Solve this equation: 2x - 3 = 7.,fully specified,IN3,fully specified,"This question is fully specified because it presents a clear, closed mathematical problem with a unique solution. There are no missing components, no referential ambiguities, no competing perspectives, and no subjective standards involved.","The task is clear. The user has provided a specific mathematical equation that they want to be solved. There are no additional details or preferences needed to complete this task, as solving a basic algebraic equation like this one does not require any further information."
9994,What's the westmost country in Asia?,fully specified,IN3,fully specified,"This question is fully specified because it asks for a specific geographic fact: the country located furthest west on the Asian continent. The terms are clear, and while geographic definitions can sometimes be debated (e.g., boundary lines), in common usage this refers to an accepted factual answer without ambiguity or missing information.","The user's task goal is clear. They are asking for a specific piece of geographical information, which is the westmost country in Asia. There are no personal preferences or additional details required to answer this question, as it is a fact-based query."
1499,Imagine you are the last person on Earth. Write a diary entry describing your thoughts and feelings.,fully specified,CLAMBER,fully specified,"This prompt is fully specified because it provides a clear fictional setup and asks the system to generate personal reflections within that context. There are no missing components, no ambiguous references, and no unclear perspectives — the request is open-ended in content but precise in task.",
1591,Give me a bulleted list of the seven more recent Indian Prime Ministers,fully specified,CLAMBER,fully specified,"This request is fully specified because it clearly asks for a factual list: the seven most recent individuals to hold the office of Indian Prime Minister. There are no ambiguous references or missing details, and while “more recent” implies a time ordering, it is anchored by official historical records.",
1312,Name a famous American author who wrote stories about the American South during the early 20th century.,fully specified,CLAMBER,fully specified,"This request is fully specified because it asks for a factual example of a well-known American author associated with Southern U.S. literature in the early 1900s. While multiple correct answers may exist, the request only asks to nominate one of them. The request is precise in scope and does not involve ambiguous references or missing components.",
1251,"Classify each of the Super Bowl winners from the oldest to the most recent (first win): New England Patriots, Philadelphia Eagles, Tampa Bay Buccaneers, St Louis and NY Giants.",fully specified,CLAMBER,fully specified,"This question is fully specified because it gives a clear list of teams and asks for an ordering based on the date of each team’s first Super Bowl win. The scope and reference are precise, and while historical sports data can evolve, the request is factual, with no ambiguity or subjective interpretation involved.",
1566,How do you operate a car with a manual transmission?,fully specified,CLAMBER,fully specified,"This question is fully specified because it asks for factual, procedural instructions on how to drive a manual (stick shift) car. The task is clearly defined, with no missing components, no ambiguous references, and no need for subjective standards or multiple perspectives.",
1415,"Tell me what continent are these countries located: China, United States, India, France, Brazil.",fully specified,CLAMBER,fully specified,"This question is fully specified because it requests factual geographic classifications, assigning each listed country to its corresponding continent. The referents are clear, the scope is factual, and there is no ambiguity or need for subjective interpretation.",
2196,Who played the main roles in the movie Horns?,fully specified,CLAMBER,fully specified,"This question is fully specified because it refers to the film Horns (2013) and asks for the factual names of the lead actors. The referent is clear, there are no missing components or ambiguous references, and while the cast list could include multiple prominent names, the request itself is straightforward.",
1905,The son told Robert that Brian shouted at him. Who did Brian shout at?,fully specified,CLAMBER,fully specified,"This question is fully specified because even though the pronoun “him” could theoretically refer to either Robert or the son, the meaning of the verb “shout at” involves a perceptual experience — the one shouted at must directly perceive the shouting, not just be informed about it by someone else. Therefore, “him” pragmatically resolves to the son, since Robert is only hearing about the shouting secondhand. The referents are clear, the semantic constraints narrow the interpretation, and no missing components or subjective judgments are needed.",
965,Who is the actress who played ophelia on the royals?,fully specified,CLAMBER,fully specified,"This question is fully specified because it refers to the TV show The Royals and the character Ophelia, asking for the factual name of the actress who played her. While there is an Indian series also titled The Royals, the character Ophelia only appears in the American version, which effectively resolves any potential referential ambiguity. There are no missing components or subjective standards involved.",
1629,The sister-in-law wrote a letter to Amanda because she wanted to apologize. Who wanted to apologize?,fully specified,CLAMBER,fully specified,"This question is fully specified because the causal structure provided by “because she wanted to apologize” pragmatically resolves to the subject who initiated the action — the sister-in-law. The referents are internally traceable, and the semantics of apology (the apologizer is the one who acts) remove ambiguity without requiring external context or subjective interpretation.",
1552,How did Robert Baratheon die?,fully specified,CLAMBER,fully specified,"This question is fully specified because it asks for the cause or circumstances of death of a well-defined fictional character from Game of Thrones. The referent is clear, the scope is factual within the narrative world, and no missing components or subjective standards are involved.",
992,Who produced tupac movie all eyez on me?,fully specified,CLAMBER,fully specified,"This question is fully specified because it refers specifically to the 2017 biographical film All Eyez on Me about Tupac Shakur, asking for the factual name(s) of the producer(s). There is no referential ambiguity, missing component, or subjective judgment required.",
334,Does Lutica maculata have bilaterally symmetric body symmetry?,fully specified,CLAMBER,fully specified,"This question is fully specified because it asks for a factual biological property (bilateral symmetry) of a certain spider species Lutica maculata. The referent is unambiguous, the scope is precise, and the question requires no subjective interpretation or missing contextual information.",
1047,How many binary numbers can be created by no more than 4 digits?,fully specified,CLAMBER,fully specified,"This question is fully specified because it asks for a precise mathematical count of binary numbers up to a length of 4 digits. The mathematical terms are clear, the scope is well-defined, and there are no ambiguous references or subjective standards involved.",
339,What's the average height of the vegetative part of Eugenia uniflora?,fully specified,CLAMBER,fully specified,"This question is fully specified because it asks for a precise botanical measurement — the average vegetative height — for the well-defined plant species Eugenia uniflora. The referent is clear, the requested property is factual, and no missing components or ambiguous interpretations are involved.",
1200,"Identify which car manufacturer is British or American: Land Rover, Jeep",fully specified,CLAMBER,fully specified,"This question is fully specified because it asks for a factual classification of two specific car brands (Land Rover and Jeep) by their national origins (British or American). The referents are clear, the scope is precise, and no subjective judgments or missing contextual details are required.",
1114,When was the canadian charter of rights and freedoms passed?,fully specified,CLAMBER,fully specified,"This question is fully specified because it asks for a clear legal historical fact — the date the Canadian Charter of Rights and Freedoms was passed. The referent is unambiguous, the scope is precise, and no additional interpretive components or subjective standards are involved.",
1213,Give me a bulleted list of the 5 highest mountains in the world and their respective heights in meters,fully specified,CLAMBER,fully specified,"This question is fully specified because it requests a factual, ranked list of the five tallest mountains on Earth, along with their heights in meters. The scope is clear, the referents are well known, and no ambiguous or subjective criteria are involved.",
2274,Who is the author of the novel Taipei by Tao Lin?,fully specified,CLAMBER,fully specified,"This question is fully specified because it asks directly for the author of the novel Taipei, which is explicitly named in the question. There are no missing components, no ambiguous references, and the factual answer is uniquely anchored.",
356,What's the average body length of Brania russelli?,fully specified,CLAMBER,fully specified,"This question is fully specified because it asks for a specific biological measurement — average body length — for the clearly named species Brania russelli. The referent is precise, the requested data is factual, and no interpretive ambiguity is involved.",
294,Is Bolusia capensis a unicellular organism in terms of cellularity?,fully specified,CLAMBER,fully specified,"This question is fully specified because it asks for the biological classification (unicellular or not) of the clearly named species Bolusia capensis. The referent is unambiguous, the requested property is factual, and no missing components or subjective perspectives are involved.",
1770,Melissa told Jennifer that she cheated on the father-in-law. Who cheated on the father-in-law?,fully specified,CLAMBER,fully specified,"This question is fully specified because, although the pronoun “she” might initially seem ambiguous, pragmatic cues in the sentence indicate that “Melissa” is the subject who cheated. The semantic structure of confession and directness supports a clear resolution without needing external clarification or interpretive framing.",
